request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_27,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_28,262.88,affordable_later,wait,2024-08-13:1302.4,2024-08-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_29,18749.49,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_30,775.2,not_affordable,not_recommended,none,2026-04-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_31,2407080.06,affordable_later,wait,2024-10-14:18164000,2024-10-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_32,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_33,36435.32,affordable_later,wait,2026-02-13:118000,2026-02-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_35,27486.15,not_affordable,not_recommended,none,2026-01-16,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_36,600.28,affordable_later,wait,2026-09-13:3954,2026-09-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_37,3114845.4,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_38,264.82,affordable_later,wait,2025-09-13:971.3,2025-09-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_39,142963.57,affordable_later,wait,2026-05-14:208600,2026-05-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_40,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_41,12496565.17,affordable_later,wait,2025-12-14:38760000,2025-12-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_43,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_44,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_45,4014849.93,affordable_later,wait,2026-09-13:21983000,2026-09-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_46,25320.25,not_affordable,not_recommended,none,2025-01-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_47,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_49,7678925.55,not_affordable,not_recommended,none,2024-05-18,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_51,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_52,23855.29,affordable_later,wait,2024-06-15:28870,2024-06-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_53,556.68,not_affordable,not_recommended,none,2026-01-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_54,3643.51,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_55,122646.93,not_affordable,not_recommended,none,2026-08-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_56,683.98,affordable_with_plan,partial_payment,2025-02-03:683.98|2025-02-15:197.58,2025-02-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_57,13524.39,affordable_later,wait,2026-05-14:61446,2026-05-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_59,114976.85,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_60,184.09,affordable_later,wait,2026-01-14:199.89,2026-01-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_61,29062.0,not_affordable,not_recommended,none,2024-03-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_63,52424.51,affordable_with_plan,partial_payment,2026-07-07:52424.51|2026-08-15:291475.49,2026-08-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_64,41914.38,not_affordable,not_recommended,none,2024-07-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_65,7082.76,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_67,284.26,affordable_later,wait,2024-10-14:2094,2024-10-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_68,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_69,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_70,50373.61,not_affordable,not_recommended,none,2025-02-16,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_71,1153544.72,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_72,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_73,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_75,28270.0,not_affordable,not_recommended,none,2026-04-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_76,28.93,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_77,54360.08,affordable_later,wait,2025-11-14:60700,2025-11-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_78,50033.41,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-16,reduce_to:event_7225:1480,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_79,763.92,affordable_with_plan,partial_payment,2024-09-04:763.92|2024-10-14:1387.68,2024-10-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_80,14894.07,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_81,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_82,320.39,not_affordable,not_recommended,none,2025-02-16,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_83,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_84,30904.16,affordable_later,wait,2026-05-14:95400,2026-05-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_85,74928.88,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_87,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_88,10734.0,not_affordable,not_recommended,none,2024-06-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_89,8650954.04,not_affordable,not_recommended,none,2025-12-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_91,182.32,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_95,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_96,72506.46,not_affordable,not_recommended,none,2026-02-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_97,1454.36,not_affordable,not_recommended,none,2024-03-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_98,10429.91,affordable_later,wait,2025-09-13:27148,2025-09-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_100,24406.57,not_affordable,not_recommended,none,2024-07-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_102,1716.0,not_affordable,not_recommended,none,2026-04-05,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_103,15886.29,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_105,50255.59,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-14,reduce_to:event_9721:1720,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_106,459.88,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_107,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_108,3008.77,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_109,662.08,not_affordable,not_recommended,none,2024-03-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_110,22352.0,not_affordable,not_recommended,none,2025-08-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_112,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_113,19990.65,affordable_later,wait,2026-09-14:36500,2026-09-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_114,65063.69,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-14,stop:event_10558,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_115,14848.08,affordable_later,wait,2024-11-13:80500,2024-11-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_116,9538.6,not_affordable,not_recommended,none,2025-04-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_117,866.57,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10878:20.5,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_118,590.05,not_affordable,not_recommended,none,2025-02-16,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_119,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_122,20558000.0,not_affordable,not_recommended,none,2025-08-05,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_123,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_124,1402.01,not_affordable,not_recommended,none,2024-07-16,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_127,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_129,112.77,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_130,303.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_131,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_132,312.47,affordable_with_plan,full_payment,2026-01-05:379.86,2026-01-14,reduce_to:event_12142:26,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_133,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_134,4451971.39,affordable_later,wait,2025-09-13:21831000,2025-09-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_135,292.86,affordable_with_plan,full_payment,2026-07-06:304.8,2026-07-15,reduce_to:event_12458:17.5,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_136,461.17,not_affordable,not_recommended,none,2024-06-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_137,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_138,1148.79,affordable_with_plan,partial_payment,2026-04-07:1148.79|2026-04-14:108.15,2026-04-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_139,1702.31,not_affordable,not_recommended,none,2024-10-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_140,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_141,24322.77,not_affordable,not_recommended,none,2026-03-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_143,2577.88,not_affordable,not_recommended,none,2025-07-17,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_144,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_145,14831.91,not_affordable,not_recommended,none,2024-05-18,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_146,17567.13,affordable_later,wait,2025-10-13:449400,2025-10-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_147,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_148,5950.87,not_affordable,not_recommended,none,2024-08-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_149,22537.15,not_affordable,not_recommended,none,2025-12-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_150,333.83,not_affordable,not_recommended,none,2026-01-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_151,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_152,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_153,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_154,1625.8,not_affordable,not_recommended,none,2024-12-04,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_155,52432.13,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_156,11447.86,affordable_later,wait,2026-05-14:43076,2026-05-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_157,4360985.2,affordable_later,wait,2024-04-17:23503000,2024-04-17,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_158,242600.0,not_affordable,not_recommended,none,2025-08-07,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_159,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_160,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_161,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_162,4272951.19,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_163,10872823.53,not_affordable,not_recommended,none,2024-11-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_164,27018000.0,not_affordable,not_recommended,none,2025-02-04,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_166,2907.6,not_affordable,not_recommended,none,2024-12-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_167,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_168,27488.04,affordable_with_plan,partial_payment,2026-01-07:27488.04|2026-01-14:21891.96,2026-01-14,reduce_to:event_15367:2475,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_170,31483420.45,not_affordable,not_recommended,none,2025-09-13,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_171,52.45,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_172,10054.63,affordable_with_plan,partial_payment,2024-06-05:10054.63|2024-06-14:145.37,2024-06-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_173,65203.01,not_affordable,not_recommended,none,2025-12-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_174,1146.2,not_affordable,not_recommended,none,2026-04-04,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_176,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_178,2938.1,not_affordable,not_recommended,none,2024-12-07,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_179,4962218.6,not_affordable,not_recommended,none,2025-07-17,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_180,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_181,132.69,not_affordable,not_recommended,none,2024-04-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_183,25507834.12,not_affordable,not_recommended,none,2026-04-14,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_184,10712.23,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_185,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_186,11801.69,affordable_later,wait,2026-03-15:26554,2026-03-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_187,32395.08,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_188,0.0,not_affordable,not_recommended,none,none,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_190,467.71,affordable_later,wait,2025-01-15:2557.5,2025-01-15,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
request_192,255.72,not_affordable,not_recommended,none,2026-05-16,none,The recommended plan is safe within the 90-day forecast while maintaining the required minimum balance.
